, again, air, along, also, always, another, any, around, away, back, because, below, between, big, both, came, children, come, day, different, end, even, every, few, find, food, form, get, give, go, great, help, here, home, house, important, keep, large, last, left, line, look, me, men, might, much, must, name, never, new, next, number, off, old, our, own, part, place, put, right, same, set, show, something, sound, still, such, take, tell, think, thought, three, through, together, too, under, until, us, want, well, went, while, why, work, world, 
again, 0.000, 0.667, , , , , , , , 0.667, , , , , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
air, 0.667, 0.000, , , , , , , , 0.667, , , , , , 0.667, 0.875, 0.667, 0.857, , 0.667, 0.750, , 0.900, 0.667, 0.833, 0.750, 0.667, 0.667, 0.667, 0.889, 0.750, 0.750, 0.750, 0.667, , 0.667, 0.833, 0.667, 0.667, 0.000, 0.667, 0.889, 0.833, 0.833, 0.875, 0.875, 0.667, , , , 0.750, 0.750, 0.833, , 0.667, 0.500, 0.750, 0.750, 0.750, 0.900, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.500, 0.667, 0.667, 0.875, , , , , , 0.833, 0.667, 0.833, 0.667, 0.889, 0.889, 0.667, 0.833, 
along, , , 0.000, , , , , , , 0.667, , , , , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
also, , , , 0.000, , , , , , 0.667, , , , , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , 0.000, , , , 0.667, 0.833, 0.667, , , 0.667, , 
always, , , , , 0.000, , , , , 0.667, , , , , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
another, , , , , , 0.000, , , , 0.667, , , , , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
any, , , , , , , 0.000, , , 0.667, , , , , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
around, , , , , , , , 0.000, , 0.667, , , , , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
away, , , , , , , , , 0.000, 0.667, , , , , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.000, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
back, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.000, , , , , , 0.667, 0.833, 0.667, 0.875, , 0.667, 0.750, , 0.923, 0.667, 0.875, 0.750, 0.667, 0.667, 0.500, 0.857, 0.667, 0.800, 0.750, 0.750, , 0.667, 0.909, 0.667, 0.667, 0.667, 0.667, 0.900, 0.833, 0.909, 0.909, 0.833, 0.667, , , , 0.750, 0.750, 0.909, , 0.667, 0.667, 0.500, 0.750, 0.667, 0.875, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.917, , , , , , 0.900, 0.667, 0.800, 0.500, 0.917, 0.909, 0.667, 0.750, 
because, , , , , , , , , , , 0.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
below, , , , , , , , , , , , 0.000, , , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , 0.000, , , 0.667, 0.833, 0.667, , , 0.667, , 
between, , , , , , , , , , , , , 0.000, , , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
big, , , , , , , , , , , , , , 0.000, , 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, 0.000, 0.750, , 0.800, 0.750, , 0.667, 0.000, 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
both, , , , , , , , , , , , , , , 0.000, 0.667, , 0.667, , , 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
came, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.000, , 0.000, , , 0.667, 0.750, , , 0.667, , 0.667, 0.000, 0.667, 0.500, , 0.750, , 0.750, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.000, 0.750, , , 0.667, 0.667, 0.667, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.800, 0.500, , , 0.667, , 
children, , 0.875, , , , , , , , 0.833, , , , , , , 0.000, 0.889, 0.800, , 0.857, 0.909, , 0.917, 0.900, 0.857, 0.875, 0.900, 0.900, 0.889, 0.750, 0.750, 0.857, 0.857, 0.875, , 0.900, 0.900, 0.900, 0.889, 0.857, 0.900, 0.917, 0.667, 0.900, 0.900, 0.857, 0.800, , , , 0.889, 0.909, 0.900, , 0.900, 0.833, 0.875, 0.909, 0.889, 0.800, 0.857, 0.900, , 0.857, 0.900, , 0.900, 0.800, 0.900, 0.900, 0.909, , , , , , 0.889, 0.857, 0.875, 0.900, 0.909, 0.909, 0.889, 0.857, 
come, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.000, 0.889, 0.000, 0.900, , 0.667, 0.750, , 0.923, 0.667, 0.857, 0.667, 0.000, 0.667, 0.500, 0.900, 0.750, 0.889, 0.750, 0.750, , 0.667, 0.909, 0.667, 0.667, 0.750, 0.667, 0.929, 0.889, 0.909, 0.909, 0.889, 0.667, , , , 0.000, 0.750, 0.909, , 0.667, 0.667, 0.667, 0.750, 0.750, 0.909, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.889, , , , , , 0.857, 0.667, 0.800, 0.500, 0.917, 0.917, 0.667, 0.889, 
day, , 0.857, , , , , , , , 0.875, , , , , , , 0.800, 0.900, 0.000, , 0.800, 0.500, , 0.900, 0.857, 0.875, 0.833, 0.857, 0.857, 0.800, 0.833, 0.833, 0.889, 0.875, 0.875, , 0.857, 0.875, 0.833, 0.857, 0.857, 0.857, 0.929, 0.800, 0.875, 0.833, 0.889, 0.857, , , , 0.800, 0.875, 0.833, , 0.857, 0.833, 0.857, 0.875, 0.875, 0.857, 0.800, 0.857, , 0.857, 0.875, , 0.857, 0.857, 0.857, 0.857, 0.875, , , , , , 0.900, 0.857, 0.900, 0.857, 0.667, 0.889, 0.857, 0.833, 
different, , , , , , , , , , , , , , , , , , , , 0.000, 0.667, 0.750, , , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
end, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.667, 0.857, 0.667, 0.800, 0.667, 0.000, 0.667, , 0.900, 0.667, 0.667, 0.667, 0.667, 0.667, 0.500, 0.875, 0.750, 0.800, 0.800, 0.750, , 0.667, 0.833, 0.000, 0.667, 0.750, 0.667, 0.900, 0.833, 0.833, 0.833, 0.875, 0.667, , , , 0.667, 0.750, 0.833, , 0.667, 0.500, 0.500, 0.667, 0.667, 0.889, 0.667, 0.667, , 0.667, 0.667, , 0.667, 0.750, 0.667, 0.667, 0.875, , , , , , 0.900, 0.667, 0.833, 0.500, 0.857, 0.875, 0.667, 0.750, 
even, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, , 0.750, 0.750, 0.750, 0.750, 0.750, 0.909, 0.750, 0.500, 0.750, 0.667, 0.000, , 0.917, 0.667, 0.900, 0.667, 0.667, 0.667, 0.667, 0.917, 0.750, 0.909, 0.800, 0.750, , 0.667, 0.900, 0.667, 0.667, 0.750, 0.667, 0.938, 0.875, 0.900, 0.875, 0.909, 0.667, , , , 0.750, 0.750, 0.900, , 0.667, 0.667, 0.750, 0.667, 0.667, 0.923, 0.667, 0.667, , 0.667, 0.000, , 0.667, 0.750, 0.667, 0.667, 0.900, , , , , , 0.917, 0.667, 0.833, 0.667, 0.800, 0.909, 0.667, 0.875, 
every, , , , , , , , , , , , , , , , , , , , , , , 0.000, , 0.667, , 0.750, 0.667, 0.667, 0.667, , 0.750, , 0.800, 0.750, , 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
few, , 0.900, , , , , , , , 0.923, , , , , , , 0.917, 0.923, 0.900, , 0.900, 0.917, , 0.000, 0.667, 0.909, 0.750, 0.667, 0.667, 0.667, 0.923, 0.750, 0.917, 0.800, 0.750, , 0.667, 0.909, 0.667, 0.667, 0.750, 0.667, 0.941, 0.857, 0.909, 0.909, 0.917, 0.667, , , , 0.750, 0.750, 0.909, , 0.667, 0.667, 0.750, 0.750, 0.750, 0.929, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.923, , , , , , 0.923, 0.667, 0.833, 0.667, 0.917, 0.917, 0.667, 0.800, 
find, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.667, 0.900, 0.667, 0.857, 0.667, 0.667, 0.667, 0.667, 0.667, 0.000, 0.857, 0.667, 0.000, 0.667, 0.667, 0.909, 0.750, 0.900, 0.800, 0.750, , 0.667, 0.889, 0.667, 0.667, 0.750, 0.667, 0.933, 0.857, 0.889, 0.889, 0.900, 0.667, , , , 0.500, 0.750, 0.889, , 0.667, 0.667, 0.667, 0.750, 0.750, 0.917, 0.667, 0.667, , 0.667, 0.750, , 0.500, 0.750, 0.667, 0.667, 0.909, , , , , , 0.909, 0.667, 0.833, 0.667, 0.900, 0.875, 0.667, 0.857, 
food, , 0.833, , , , , , , , 0.875, , , , , , , 0.857, 0.857, 0.875, , 0.667, 0.900, , 0.909, 0.857, 0.000, 0.800, 0.857, 0.857, 0.857, 0.875, 0.875, 0.857, 0.857, 0.875, , 0.857, 0.889, 0.857, 0.857, 0.857, 0.857, 0.917, 0.857, 0.889, 0.889, 0.800, 0.857, , , , 0.875, 0.875, 0.889, , 0.857, 0.800, 0.750, 0.875, 0.833, 0.889, 0.833, 0.857, , 0.857, 0.875, , 0.857, 0.875, 0.857, 0.667, 0.889, , , , , , 0.857, 0.857, 0.889, 0.857, 0.900, 0.875, 0.857, 0.750, 
form, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, , 0.750, 0.750, 0.750, 0.750, 0.667, 0.875, 0.667, 0.833, 0.750, 0.667, 0.667, 0.750, 0.750, 0.667, 0.800, 0.000, 0.667, 0.667, 0.667, 0.889, 0.750, 0.857, 0.833, 0.750, , 0.750, 0.800, 0.750, 0.667, 0.500, 0.667, 0.917, 0.800, 0.800, 0.857, 0.857, 0.750, , , , 0.800, 0.800, 0.800, , 0.750, 0.667, 0.750, 0.667, 0.667, 0.900, 0.667, 0.750, , 0.750, 0.667, , 0.667, 0.800, 0.667, 0.667, 0.889, , , , , , 0.875, 0.750, 0.750, 0.667, 0.875, 0.875, 0.000, 0.750, 
get, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.000, 0.900, 0.000, 0.857, 0.667, 0.667, 0.667, 0.667, 0.667, 0.000, 0.857, 0.667, 0.000, 0.667, 0.000, 0.944, 0.750, 0.941, 0.800, 0.750, , 0.667, 0.938, 0.667, 0.500, 0.750, 0.667, 0.955, 0.929, 0.938, 0.938, 0.941, 0.667, , , , 0.750, 0.750, 0.938, , 0.667, 0.667, 0.750, 0.667, 0.667, 0.947, 0.667, 0.667, , 0.667, 0.667, , 0.000, 0.750, 0.667, 0.667, 0.944, , , , , , 0.944, 0.667, 0.833, 0.000, 0.941, 0.933, 0.500, 0.929, 
give, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.667, 0.900, 0.667, 0.857, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.857, 0.667, 0.667, 0.000, 0.667, 0.917, 0.667, 0.909, 0.800, 0.750, , 0.667, 0.833, 0.667, 0.000, 0.750, 0.667, 0.938, 0.875, 0.833, 0.900, 0.875, 0.667, , , , 0.750, 0.750, 0.875, , 0.667, 0.667, 0.667, 0.667, 0.750, 0.923, 0.667, 0.500, , 0.667, 0.750, , 0.667, 0.500, 0.500, 0.500, 0.917, , , , , , 0.917, 0.667, 0.833, 0.667, 0.909, 0.909, 0.667, 0.875, 
go, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.500, , 0.667, 0.667, 0.667, 0.667, 0.500, 0.889, 0.500, 0.800, 0.667, 0.500, 0.667, 0.667, 0.667, 0.667, 0.857, 0.667, 0.000, 0.667, 0.000, 0.900, 0.750, 0.909, 0.667, 0.750, , 0.667, 0.909, 0.000, 0.500, 0.750, 0.667, 0.938, 0.889, 0.909, 0.900, 0.909, 0.667, , , , 0.667, 0.750, 0.909, , 0.667, 0.667, 0.750, 0.750, 0.750, 0.909, 0.667, 0.667, , 0.000, 0.750, , 0.500, 0.750, 0.667, 0.667, 0.917, , , , , , 0.917, 0.667, 0.750, 0.000, 0.857, 0.900, 0.000, 0.889, 
great, , 0.889, , , , , , , , 0.857, , , , 0.000, , , 0.750, 0.900, 0.833, , 0.875, 0.917, , 0.923, 0.909, 0.875, 0.889, 0.944, 0.917, 0.900, 0.000, 0.750, 0.875, 0.800, 0.750, , 0.667, 0.000, 0.667, 0.667, 0.750, 0.667, 0.923, 0.750, 0.909, 0.909, 0.875, 0.667, , , , 0.750, 0.750, 0.909, , 0.667, 0.667, 0.750, 0.750, 0.750, 0.833, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.917, , , , , , 0.900, 0.667, 0.833, 0.667, 0.917, 0.917, 0.667, 0.875, 
help, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.667, , 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.833, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.875, 0.750, 0.750, 0.667, 0.750, 0.750, 0.000, 0.875, 0.833, 0.800, , 0.750, 0.875, 0.667, 0.667, 0.667, 0.667, 0.923, 0.667, 0.875, 0.900, 0.875, 0.750, , , , 0.800, 0.800, 0.875, , 0.750, 0.750, 0.750, 0.750, 0.750, 0.833, 0.750, 0.750, , 0.750, 0.750, , 0.750, 0.800, 0.750, 0.750, 0.917, , , , , , 0.900, 0.750, 0.857, 0.750, 0.909, 0.889, 0.500, 0.875, 
here, , 0.750, , , , , , , , 0.800, , , , , , , 0.857, 0.889, 0.889, , 0.800, 0.909, , 0.917, 0.900, 0.857, 0.857, 0.941, 0.909, 0.909, 0.875, 0.875, 0.000, 0.667, 0.750, , 0.667, 0.900, 0.667, 0.667, 0.667, 0.667, 0.875, 0.833, 0.900, 0.900, 0.857, 0.667, , , , 0.750, 0.750, 0.900, , 0.667, 0.667, 0.750, 0.750, 0.750, 0.889, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.909, , , , , , 0.875, 0.667, 0.833, 0.667, 0.909, 0.909, 0.667, 0.833, 
home, 0.800, 0.750, 0.800, 0.800, 0.800, 0.800, 0.800, 0.800, 0.800, 0.750, , 0.800, 0.800, 0.800, 0.800, 0.750, 0.857, 0.750, 0.875, 0.800, 0.800, 0.800, 0.800, 0.800, 0.800, 0.857, 0.833, 0.800, 0.800, 0.667, 0.800, 0.833, 0.667, 0.000, 0.000, , 0.667, 0.875, 0.667, 0.667, 0.667, 0.667, 0.875, 0.800, 0.875, 0.900, 0.857, 0.667, , , , 0.750, 0.750, 0.875, , 0.667, 0.667, 0.000, 0.750, 0.750, 0.889, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.909, , , , , , 0.875, 0.667, 0.833, 0.667, 0.909, 0.909, 0.667, 0.833, 
house, 0.750, 0.667, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, , 0.750, 0.750, 0.750, 0.750, 0.750, 0.875, 0.750, 0.875, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.875, 0.750, 0.750, 0.750, 0.750, 0.750, 0.800, 0.750, 0.000, 0.000, , 0.667, 0.900, 0.750, 0.750, 0.667, 0.750, 0.889, 0.800, 0.900, 0.900, 0.875, 0.667, , , , 0.800, 0.800, 0.900, , 0.750, 0.500, 0.800, 0.800, 0.800, 0.900, 0.750, 0.750, , 0.750, 0.800, , 0.750, 0.800, 0.750, 0.750, 0.917, , , , , , 0.889, 0.750, 0.833, 0.750, 0.909, 0.909, 0.750, 0.833, 
important, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0.000, 0.667, , 0.667, 0.667, 0.750, 0.667, , , , , , 0.667, , , , 0.750, 0.750, , , 0.667, 0.667, 0.750, 0.750, 0.750, , 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, , , , , , , , 0.667, 0.833, 0.667, , , 0.667, , 
keep, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.667, 0.900, 0.667, 0.857, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.857, 0.750, 0.667, 0.667, 0.667, 0.667, 0.750, 0.667, 0.667, 0.667, 0.667, 0.000, 0.900, 0.667, 0.667, 0.750, 0.667, 0.929, 0.875, 0.900, 0.900, 0.909, 0.667, , , , 0.750, 0.750, 0.900, , 0.667, 0.667, 0.750, 0.750, 0.750, 0.917, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.917, , , , , , 0.900, 0.667, 0.800, 0.667, 0.909, 0.909, 0.667, 0.875, 
large, , 0.833, , , , , , , , 0.909, , , , 0.000, , , 0.900, 0.909, 0.875, , 0.833, 0.900, , 0.909, 0.889, 0.889, 0.800, 0.938, 0.833, 0.909, 0.000, 0.875, 0.900, 0.875, 0.900, , 0.900, 0.000, 0.667, 0.667, 0.750, 0.667, 0.933, 0.857, 0.800, 0.889, 0.857, 0.667, , , , 0.667, 0.750, 0.857, , 0.667, 0.667, 0.750, 0.750, 0.750, 0.917, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.909, , , , , , 0.909, 0.667, 0.833, 0.667, 0.900, 0.900, 0.667, 0.857, 
last, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.667, 0.900, 0.667, 0.833, 0.667, 0.000, 0.667, 0.667, 0.667, 0.667, 0.857, 0.750, 0.667, 0.667, 0.000, 0.667, 0.667, 0.667, 0.667, 0.750, 0.667, 0.667, 0.667, 0.000, 0.667, 0.667, 0.667, 0.929, 0.857, 0.875, 0.857, 0.900, 0.667, , , , 0.750, 0.750, 0.875, , 0.667, 0.667, 0.750, 0.750, 0.750, 0.917, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.750, 0.667, 0.667, 0.875, , , , , , 0.909, 0.667, 0.833, 0.000, 0.875, 0.889, 0.667, 0.857, 
left, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, , 0.667, 0.667, 0.667, 0.667, 0.667, 0.889, 0.667, 0.857, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667, 0.857, 0.667, 0.500, 0.000, 0.500, 0.667, 0.667, 0.667, 0.667, 0.750, 0.667, 0.667, 0.667, 0.667, 0.000, 0.750, 0.667, 0.889, 0.857, 0.909, 0.909, 0.889, 0.667, , , , 0.750, 0.750, 0.909, , 0.667, 0.500, 0.500, 0.750, 0.667, 0.909, 0.667, 0.667, , 0.667, 0.750, , 0.667, 0.500, 0.667, 0.667, 0.923, , , , , , 0.889, 0.667, 0.833, 0.500, 0.917, 0.917, 0.667, 0.857, 
line, 0.750, 0.000, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.667, , 0.750, 0.750, 0.750, 0.750, 0.750, 0.857, 0.750, 0.857, 0.750, 0.750, 0.750, 0.750, 0.750, 0.750, 0.857, 0.500, 0.750, 0.750, 0.750, 0.750, 0.667, 0.667, 0.667, 0.667, 0.750, 0.750, 0.750, 0.667, 0.750, 0.000, 0.667, 0.875, 0.800, 0.833, 0.875, 0.857, 0.667, , , , 0.667, 0.800, 0.833, , 0.750, 0.500, 0.500, 0.750, 0.750, 0.889, 0.750, 0.750, , 0.750, 0.750, , 0.750, 0.800, 0.750, 0.667, 0.875, , , , , , 0.875, 0.750, 0.750, 0.750, 0.889, 0.889, 0.500, 0.800, 
